Word,Occurrences,TotalSteps,AverageSteps
blisters,1,15,15.0000
volcano,4,64,16.0000
blarneystone,1,17,17.0000
sugarplum,1,18,18.0000
worst,10,10,1.0000
let,163,326,2.0000
panes,1,3,3.0000
bell,12,48,4.0000
humor,6,30,5.0000
fisher,2,12,6.0000
confides,1,7,7.0000
serpent,1,8,8.0000
screwed,1,9,9.0000
consciously,1,10,10.0000
planned,13,13,1.0000
stained,2,4,2.0000
aches,3,9,3.0000
balls,1,4,4.0000
withdrawn,2,10,5.0000
desperandum,1,6,6.0000
vehicle,2,14,7.0000
huffy,1,8,8.0000
sure,86,86,1.0000
those,77,154,2.0000
undecided,6,18,3.0000
cane,4,16,4.0000
solitary,9,45,5.0000
counting,2,12,6.0000
undone,1,7,7.0000
necessaries,2,16,8.0000
jewelry,1,1,1.0000
conquered,7,14,2.0000
true,43,129,3.0000
youve,29,116,4.0000
languid,1,5,5.0000
proxy,2,12,6.0000
toy,2,14,7.0000
weaned,1,8,8.0000
&,1,9,9.0000
neglected,12,12,1.0000
vittles,2,4,2.0000
speaks,6,18,3.0000
telling,16,64,4.0000
dreary,4,20,5.0000
upright,2,12,6.0000
absent,11,77,7.0000
conflagration,1,8,8.0000
buttoned,2,18,9.0000
obstreperous,1,10,10.0000
establishing,1,11,11.0000
prisoner,3,3,1.0000
geranium,1,2,2.0000
flown,2,6,3.0000
elegance,7,28,4.0000
ruffled,8,40,5.0000
sturdily,1,6,6.0000
receiving,3,21,7.0000
taper,1,8,8.0000
coveted,5,45,9.0000
feelers,1,10,10.0000
graduates,1,11,11.0000
rummaged,1,12,12.0000
magical,1,13,13.0000
slammed,2,2,1.0000
luck,2,4,2.0000
blooming,2,6,3.0000
erect,5,20,4.0000
starch,2,10,5.0000
balustrade,2,12,6.0000
fatherland,1,7,7.0000
sharp,23,23,1.0000
snip,1,2,2.0000
laboured,1,3,3.0000
withdrew,1,4,4.0000
unwomanly,1,5,5.0000
bags,5,5,1.0000
belt,2,4,2.0000
nestled,5,15,3.0000
impossible,32,128,4.0000
hateful,1,5,5.0000
pitcher,2,12,6.0000
fill,10,70,7.0000
wherry,1,8,8.0000
crowning,4,36,9.0000
frankfurt,1,10,10.0000
unmercifully,1,11,11.0000
traits,1,12,12.0000
further,9,9,1.0000
address,4,8,2.0000
resolve,6,18,3.0000
unlock,1,4,4.0000
forboding,1,5,5.0000
corpse,1,6,6.0000
santa,1,1,1.0000
gardiners,2,4,2.0000
worktable,2,6,3.0000
byes,2,8,4.0000
homeward,3,15,5.0000
breakages,1,6,6.0000
concocting,1,7,7.0000
linger,1,8,8.0000
sick,34,34,1.0000
leading,4,8,2.0000
fresh,30,90,3.0000
april,3,12,4.0000
rode,6,30,5.0000
pucker,2,12,6.0000
woes,1,7,7.0000
chests,4,32,8.0000
capricious,2,18,9.0000
plateau,1,10,10.0000
chessboard,1,11,11.0000
attitudes,3,3,1.0000
croaker,1,2,2.0000
spire,1,3,3.0000
milkman,1,4,4.0000
streamed,2,10,5.0000
widows,1,6,6.0000
enabled,1,7,7.0000
strikes,1,8,8.0000
masterly,1,9,9.0000
blur,1,10,10.0000
delightful,28,28,1.0000
vivan,1,2,2.0000
arose,4,12,3.0000
villains,1,4,4.0000
says,52,260,5.0000
refuge,9,54,6.0000
shining,10,70,7.0000
repress,1,8,8.0000
millennium,1,9,9.0000
began,153,153,1.0000
shiver,4,8,2.0000
dearer,4,12,3.0000
coral,2,8,4.0000
demurely,2,10,5.0000
thoughtlessness,1,6,6.0000
concerned,1,7,7.0000
larger,1,8,8.0000
fished,1,9,9.0000
joian,1,10,10.0000
frank,22,22,1.0000
hampers,1,2,2.0000
pettishly,2,6,3.0000
extinguish,1,4,4.0000
2,3,15,5.0000
confided,4,24,6.0000
police,2,14,7.0000
imbecile,1,8,8.0000
haughty,4,36,9.0000
thither,1,10,10.0000
oblivious,1,11,11.0000
had,1063,1063,1.0000
pulling,6,12,2.0000
italians,2,6,3.0000
housekeeping,7,28,4.0000
queerly,2,10,5.0000
pickers,1,6,6.0000
cant,187,187,1.0000
kind,112,224,2.0000
description,4,12,3.0000
spanish,1,4,4.0000
prospect,15,75,5.0000
unseen,3,18,6.0000
culprits,2,14,7.0000
market,4,32,8.0000
spares,2,18,9.0000
balcony,2,20,10.0000
byronic,1,11,11.0000
trinkets,2,24,12.0000
happier,8,8,1.0000
costing,1,2,2.0000
bracelets,2,6,3.0000
beaming,6,24,4.0000
smiles,6,30,5.0000
sickness,1,6,6.0000
devices,6,42,7.0000
mantlepiece,3,24,8.0000
columns,2,18,9.0000
killarney,2,20,10.0000
haf,31,341,11.0000
monosyllable,2,24,12.0000
very,492,492,1.0000
mittens,2,4,2.0000
agreeable,22,66,3.0000
gracefully,10,40,4.0000
regretted,9,45,5.0000
worth,20,120,6.0000
develops,1,7,7.0000
sob,7,56,8.0000
blandly,3,27,9.0000
scholar,3,30,10.0000
luggage,1,11,11.0000
writ,1,12,12.0000
king,7,7,1.0000
boys,101,202,2.0000
urgency,1,3,3.0000
trembled,6,24,4.0000
caroline,1,5,5.0000
moralize,1,6,6.0000
gain,3,21,7.0000
graduated,1,8,8.0000
prince,2,18,9.0000
beggin,1,1,1.0000
lifts,1,2,2.0000
expressive,5,15,3.0000
schoolgirl,1,4,4.0000
pitch,2,10,5.0000
headfirst,1,6,6.0000
darlings,2,14,7.0000
ammon,1,8,8.0000
denouement,1,9,9.0000
bedside,3,30,10.0000
minnie,4,44,11.0000
precocious,4,48,12.0000
quietly,39,39,1.0000
least,30,60,2.0000
countenance,15,45,3.0000
kneel,1,4,4.0000
retired,8,40,5.0000
bird,16,96,6.0000
pitched,2,14,7.0000
appetites,1,8,8.0000
creep,1,9,9.0000
cheerily,1,10,10.0000
sells,1,11,11.0000
condescended,2,24,12.0000
catherine,1,13,13.0000
reproachfully,3,3,1.0000
groom,1,2,2.0000
blushes,1,3,3.0000
assert,3,12,4.0000
enjoy,59,59,1.0000
keeping,20,40,2.0000
quel,1,3,3.0000
motioned,1,4,4.0000
officers,2,10,5.0000
chilled,2,12,6.0000
perishable,1,7,7.0000
desultory,1,8,8.0000
preparing,9,9,1.0000
inside,10,20,2.0000
yielded,3,9,3.0000
rash,9,36,4.0000
anointed,1,5,5.0000
wearin,2,12,6.0000
rule,6,42,7.0000
tantrums,1,8,8.0000
workaday,2,18,9.0000
reverie,3,30,10.0000
lighting,1,11,11.0000
outset,1,12,12.0000
coals,1,13,13.0000
mother,327,327,1.0000
should,192,384,2.0000
though,180,540,3.0000
thrill,3,12,4.0000
heeled,4,20,5.0000
grandpa,23,138,6.0000
guard,10,70,7.0000
keg,1,8,8.0000
meshes,1,9,9.0000
minna,4,40,10.0000
uncomplainingly,1,11,11.0000
streamer,1,12,12.0000
bespattered,1,13,13.0000
woodbine,1,14,14.0000
gabble,1,15,15.0000
comical,18,18,1.0000
turns,8,16,2.0000
country,11,33,3.0000
tempers,5,20,4.0000
tenderest,6,30,5.0000
confide,2,12,6.0000
tore,5,35,7.0000
contradick,1,8,8.0000
manger,2,18,9.0000
message,4,4,1.0000
temper,23,46,2.0000
dampness,2,6,3.0000
lake,11,44,4.0000
dining,6,30,5.0000
stubborn,1,6,6.0000
prescribed,1,7,7.0000
cherry,4,32,8.0000
deared,1,9,9.0000
opportunities,3,30,10.0000
cotillion,1,11,11.0000
butter,7,7,1.0000
greeted,4,8,2.0000
whenever,16,48,3.0000
adventure,2,8,4.0000
knees,8,40,5.0000
farther,1,6,6.0000
attack,4,28,7.0000
horns,1,8,8.0000
portfolio,5,45,9.0000
commander,5,50,10.0000
testing,1,11,11.0000
wrenched,1,12,12.0000
delays,1,13,13.0000
embalm,1,14,14.0000
pierce,1,15,15.0000
thin,20,20,1.0000
compliments,10,20,2.0000
gossip,20,60,3.0000
jeune,1,4,4.0000
bronzes,1,5,5.0000
flashed,3,18,6.0000
eaten,3,21,7.0000
tempted,6,48,8.0000
intonation,1,9,9.0000
outbreak,1,10,10.0000
freshen,1,11,11.0000
cambric,2,24,12.0000
parks,2,26,13.0000
har,1,14,14.0000
franz,4,60,15.0000
softened,6,6,1.0000
has,158,316,2.0000
chorus,3,9,3.0000
useful,29,116,4.0000
son,18,90,5.0000
beauties,2,12,6.0000
flowery,2,14,7.0000
meditative,3,24,8.0000
dolefully,1,9,9.0000
mock,1,10,10.0000
prophetic,1,11,11.0000
lessons,33,33,1.0000
spared,5,10,2.0000
hat,56,168,3.0000
daring,3,12,4.0000
fastening,2,10,5.0000
cases,3,18,6.0000
kicked,2,14,7.0000
marked,7,7,1.0000
smiled,48,96,2.0000
critic,1,3,3.0000
lakes,2,8,4.0000
face,254,254,1.0000
chillen,1,2,2.0000
properties,1,3,3.0000
aye,7,28,4.0000
enthroned,2,10,5.0000
marrying,2,12,6.0000
moneys,1,7,7.0000
rampage,1,8,8.0000
imperceptibly,1,9,9.0000
this,399,399,1.0000
delights,5,10,2.0000
desire,17,51,3.0000
grieved,7,28,4.0000
irksome,3,15,5.0000
worship,3,18,6.0000
puppies,1,7,7.0000
contrast,4,32,8.0000
swarming,1,9,9.0000
seaside,2,20,10.0000
pipe,1,11,11.0000
mists,1,12,12.0000
addressing,1,13,13.0000
metaphorically,1,14,14.0000
hours,23,23,1.0000
side,53,106,2.0000
objection,4,12,3.0000
whisked,9,36,4.0000
bliss,5,25,5.0000
heavy,29,174,6.0000
torn,6,42,7.0000
strengthened,3,24,8.0000
confession,2,18,9.0000
